Account,Type,RVP,Engagement,Status,Next Critical Date,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,5/11 Status,5/19 Status,5/25 Status,6/8 Needs,6/16 Needs,6/23 Needs,6/29 Needs,7/7 Needs,5/4 Status ,AE,SE,CSM,DSE,EA,AF,TA,BVS,Multiplier,Close Plan,DSR,Deck/Asset,Account Channel,Deal Channel ,Intake
ADT,Solidify,Andrew Blum,SIC,Completed,,,,Home & Away SIC - UPDATE? ,Get update following Home & Away SIC - ties into renewal ,Need Home & Away SIC update; renewal impacts,Need Home & Away SIC update; renewal impacts,Need Home & Away SIC update; renewal impacts,Need Home & Away SIC update; renewal impacts,,,,,,,,Need Home & Away SIC update; renewal impacts,Anthony Service,Sonal Moraes,,N/A,Gabe Graber,,,Oye Coker-Dickens,,,,SIC Deck,,,
ADT,Solidify,Andrew Blum,SIC,Completed,,,,"B2C Launch SIC week of Apr 13
CMO (Kim) wants 90-min exec pitch with full plan, demo, and ROI for CEO approval
Nicole providing courtesy order form for Next Gen MC bells and whistles
Target transaction: Q2
NEED:
Lock team + owners
Build demo + architecture in parallel
Draft exec deck (vision → demo → plan → ROI)
Finalize 3-month rollout + KPIs
Prep POC commercial structure (Adam/Anthony)
Nicole ongoing weekly/bi-weekly engagement with Kim","B2C SIC with New CMO
Demo Plan Alignment with Rachel Smith, Sonal Moraes, AD, Digital Team - Complete
Demo Build (Holodeck) / Deck - WIP
Anthony Service+ Adam Edwardsdrafting pricing estimates - ADT may be assuming Scot's CCaaS investment offer is transferable to the MC work — Blum flagged this, needs to be surfaced to Scot before his PTO next week
NEED BVS?
Gabriel Graber- Add to channel

Rachel Smith BVS (Oye) is supporting this B2C SIC at ADT.   He just confirmed and tagged himself.","B2C SIC with New CMO Today
Orient around CDP win for investment expectations",Next Steps Post-SICs? ,Next Steps Post-SICs? ,Next Steps Post-SICs? ,,,,,,,,Next Steps Post-SICs? ,Anthony Service,Sonal Moraes,,Rachel Smith,Gabe Graber,,,Oye Coker-Dickens,,,,4/14 MarTech Demo,,,"We have a shot to help ADT rebuild their marketing + launch D2C. CMO (Kim) is moving fast (CEO Pressure) → wants a 90-min exec pitch (week of Apr 13) with full plan, demo, and ROI for CEO approval. She wants to make a big splash! 
Nicole told Kim we will invest in Dev on a new MC instance of Next Gen MC. Courtesy order form for all the bells and whistles. 
*Target transaction Q2*"
CBRE - FDEs,Transform,Andrew Blum,Agentforce Consumption,In Process,,,,,,,,,,,,,Check in here - CapMarkets Deployment: Does product team need feedback? Requested via DSR an AFSE to review. (AF releases going straight to prod and breaking things! Creating risk in CapMarkets success! 1 year contract up for renewal this year) - Open Red Account! [Blum requesting from Tyler],Check in here - CapMarkets Deployment: Does product team need feedback? Requested via DSR an AFSE to review. (AF releases going straight to prod and breaking things! Creating risk in CapMarkets success! 1 year contract up for renewal this year) - Open Red Account! [Blum requesting from Tyler],Check in here - CapMarkets Deployment: Does product team need feedback? Requested via DSR an AFSE to review. (AF releases going straight to prod and breaking things! Creating risk in CapMarkets success! 1 year contract up for renewal this year) - Open Red Account! [Blum requesting from Tyler],"Very Red. Escalated to Marie Williams. Product gaps need to be addressed! Request for FDEs to get re-engaged, but product team engagement is critical before more FDEs added. CSM hands are tied due to this just being premiere. Adding Laura Caseto channel for visibilty.  Potential attrit without fixing for long term. (Every time there is a product release, something breaks.)  [RING FIRE ALARM]",,Tyler Flory,Michael Ciardullo,Premier - see Tsui,,,,,,,,,,,,
ADT,Solidify,Andrew Blum,AI Workshop,Completed,,,,,,,,"Agentforce 101 session for ADT's Head of AI (Jesse Coomber) and Geoff Skinner, VP, IT Applications.  Need a full 101 enablement. Geoff mentioned trying to get this scheduled for early next week but nothing has been confirmed yet. 
Important to note that Jesse is the primary sponsor for Sierra at ADT, so we really need to get this right.
Resource? Date?","
Completed 5/11 - Agentforce 101 still unscheduled for Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps). Jesse is primary Sierra sponsor. Need resource assignment (John DeFoe) + date. Geoff mentioned early next week but unconfirmed.","Completed 5/11 — Agentforce 101 delivered to Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps).""","Completed 5/11 — Agentforce 101 delivered to Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps).""","Completed 5/11 — Agentforce 101 delivered to Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps).""","Completed 5/11 — Agentforce 101 delivered to Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps).""","Completed 5/11 — Agentforce 101 delivered to Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps).""","Completed 5/11 — Agentforce 101 delivered to Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps).""","Completed 5/11 — Agentforce 101 delivered to Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps).""",Agentforce 101 still unscheduled for Jesse Coomber (Head of AI) + Geoff Skinner (VP IT Apps). Jesse is primary Sierra sponsor. Need resource assignment (John DeFoe) + date. Geoff mentioned early next week but unconfirmed.,Anthony Service,Sonal Moraes,,NONE,Gabe Graber,NONE,NONE,NONE,NONE,,,,,,
ADT,Solidify,Andrew Blum,Architecture Review,In Process,,"Arc Review Need architecture review and alignment with acct team + Techsee (VRA OEM partner/big influencer at ADT) on a co-defined architecture session where we map out what the ideal state/product mix is. 
Sumit Paliwal + Gabriel Graberconnecting internally to craft POV - will confirm after mtg internally. ","Arc Alignment - Internal connect outcome with Gabriel Graber& 
Sumit Paliwal ? Next customer mtg?","
Sumit Paliwal chasing TechSee for meeting for arc review - STILL? ","Standing meeting with TechSee 4/8, but Sumit not available - looking to push; Sonal and Sumit have prepped ",Techsee/Sumit Paliwal meeting 4/22 10AM,Techsee/Sumit Paliwal meeting 4/22 10AM,"Salesforce & TechSee need to align on the proposed architecture for ADT and then present it together to ADT.
TechSee participating in MCP pilot; Video and images not yet supported by MCP but TechSee has recommendations
Jim will coordinate with Gavin and Sumit via Slack to schedule architect discussion this week or early next week",SF & TechSee need to align on proposed architecture and co-present to ADT. Jim coordinating with Gavin and Sumit to schedule architect discussion this week/early next.,SF & TechSee need to align on proposed architecture and co-present to ADT. Jim coordinating with Gavin and Sumit to schedule architect discussion this week/early next.,TechSee working with product team to ensure we are aligned on product roadmap (current gaps). Gaps are causing ADT to default to Sierra. AOV Protection - need a path to product inoperability. Next step: Monitoring Product Roadmap alignment discussions - Sumit Paliwalon it.  ,TechSee working with product team to ensure we are aligned on product roadmap (current gaps). Gaps are causing ADT to default to Sierra. AOV Protection - need a path to product inoperability. Next step: Monitoring Product Roadmap alignment discussions - Sumit Paliwalon it.  ,NO CHANGE! LAST: TechSee working with product team to ensure we are aligned on product roadmap (current gaps). Gaps are causing ADT to default to Sierra. AOV Protection - need a path to product inoperability. Next step: Monitoring Product Roadmap alignment discussions - Sumit Paliwalon it.  Get Blum added to product channel and ping for the latest. ,NO CHANGE! LAST: TechSee working with product team to ensure we are aligned on product roadmap (current gaps). Gaps are causing ADT to default to Sierra. AOV Protection - need a path to product inoperability. Next step: Monitoring Product Roadmap alignment discussions - Sumit Paliwalon it.  Get Blum added to product channel and ping for the latest. ,NO CHANGE! LAST: TechSee working with product team to ensure we are aligned on product roadmap (current gaps). Gaps are causing ADT to default to Sierra. AOV Protection - need a path to product inoperability. Next step: Monitoring Product Roadmap alignment discussions - Sumit Paliwalon it.  Get Blum added to product channel and ping for the latest. ,TechSee working with product team to ensure we are aligned on product roadmap (current gaps). Gaps are causing ADT to default to Sierra. AOV Protection - need a path to product inoperability. Next step: Monitoring Product Roadmap alignment discussions - Sumit Paliwalon it.  Last channel activity 6/16 - Elizabeth Tsui pinging/tagging Tim Jock for visibility. Add Sonal Moraes,"Salesforce & TechSee need to align on the proposed architecture for ADT and then present it together to ADT.
TechSee participating in MCP pilot; Video and images not yet supported by MCP but TechSee has recommendations
Jim will coordinate with Gavin and Sumit via Slack to schedule architect discussion this week or early next week",Anthony Service,Sonal Moraes,Jim Pawlika,NONE,Gabe Graber,NONE,Sumit Paliwal,NONE,NONE,,,https://salesforce.enterprise.slack.com/docs/T3X1CSHRN/F0AE75TFV51,https://salesforce.enterprise.slack.com/archives/C0AE75R7267,,TechSee asking for help from product with integrating their product capes with AF (Blocker) - Need architecture review and alignment with acct team + Techsee (VRA OEM partner/big influencer at ADT) on a co-defined architecture session where we map out what the ideal state/product mix is. 
CBRE,Transform,Andrew Blum,Process Evaluation,Postponed,,,,,"NEW: Discovery call with the GWS team today 
Goal: map the system landscape (FM, ESG, Analytics, Leases), identify friction and manual workflows - aiming for A1E upgrade.","Map the system landscape (FM, ESG, Analytics, Leases), identify friction and manual workflows - aiming for A1E upgrade.
This feels like a Bill Bernabei special with no real decision maker, budget, or quantifiable goals established for success or funding! ","Map the system landscape (FM, ESG, Analytics, Leases), identify friction and manual workflows - aiming for A1E upgrade.
This feels like a Bill Bernabei special with no real decision maker, budget, or quantifiable goals established for success or funding! ","Map the system landscape (FM, ESG, Analytics, Leases), identify friction and manual workflows - aiming for A1E upgrade.
ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ","ON HOLD: no real decision maker, budget, or quantifiable goals established for success or funding! ",Tyler Flory,Michael Ciardullo,,Rachel Smith,Gabe Graber,NONE,Jake Connors,Oye Coker-Dickens,Priya Stipe,,,,,,
CDW,Transform,Jesse Sun,Executive Engagement,Completed,5/29/2026,,,,"Rough Draft CDW Renewal Closing Plan by Jordan Rzepka
Security context shared by Kevin McDermott from last year's SOX conversations (to frame readout) 
4/9 Planning Call with SVP Stakeholders for SIC 
Priya Stipe Partnership SIC in Chi - vetting agenda and topics - Date TBD (early May?) ","Agenda alignment; content being prepped; waiting on date
Priya Stipe Partnership SIC in Chi -  Date TBD (can't get in person until late june, targeting virtual May with smaller group) 
Rough Draft CDW Renewal Closing Plan by Jordan Rzepka
Security context shared by Kevin McDermott from last year's SOX conversations (to frame readout) ","Agenda alignment; content being prepped; waiting on date
Priya Stipe Partnership SIC in Chi -  Date TBD (can't get in person until late june, targeting virtual May with smaller group) 
Rough Draft CDW Renewal Closing Plan by Jordan Rzepka
Security context shared by Kevin McDermott from last year's SOX conversations (to frame readout) ",Virtual exec meeting confirmed for 5/29. @Priya Stipe is engaged. Scheduling a 1x1 listening tour with each participating executive.,"Virtual exec meeting confirmed for 5/29. Priya engaged. 
""Listening Tour"" still underway 
What kind of meeting do we need? ","Virtual exec meeting confirmed for 5/29. Priya engaged. 
""Listening Tour"" still underway 
What kind of meeting do we need? ","Exec Summit 5/29 confirmed. Deck 90% done, demo finalized. 1st dry run 5/26. Poonam leading demo. Priya leading strategy; Rachel supporting story/demo/Poonam. ",Exec Summit 5/29 complete. Next steps being defined — confirm post-Summit actions with account team.,Exec Summit 5/29 complete. Next steps being defined — confirm post-Summit actions with account team.,Exec Summit 5/29 complete. Next steps being defined — confirm post-Summit actions with account team.,Exec Summit 5/29 complete. Next steps being defined — confirm post-Summit actions with account team.,Exec Summit 5/29 complete. Next steps being defined — confirm post-Summit actions with account team.,"Virtual exec meeting confirmed for 5/29. @Priya Stipe is engaged. 

5/5 - Scheduling a 1x1 listening tour with each participating executive. Aligned on content - Priya/Poonam working on refining. ",Jordan Rzepka,Poonam Patel,Premier - see Tsui,Rachel Smith,Alexandra Scott,NONE,NONE,Oye Coker-Dickens,Priya Stipe,Rough Draft CDW Renewal Closing Plan,,"Initial High Level Agenda

Summit Deck Draft",,,"Planning Executive Summit with CCO, CFO, and SVPs (RevOps, Strategy, etc.). They want to reimagine the partnership - focus areas likely to include: State of the Partnership, Agentic Enterprise Evolution, Vision for CDW as Agentic Enterprise (CPQ to ARM & Agentforce. Ancillary outcomes we to tease out: need for Signature Success, central ownership of Salesforce relationship

Context: CDW has outdated tech & shelfware (e.g., quip) so we need to recalibrate. "
CBRE,Transform,Andrew Blum,POC,Completed,5/7/2026,,,,,,,"CBRE Hackathon 5/7 - Resource, Licensing Support Needed ","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Completed: Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only","Hackathon 5/5–5/6 in Dallas. 4 use cases briefed (AI deal copilot, meeting intelligence, dev automation, ESG agent). Daniel Allen local; remote team on standby. Advisory/guidance only",Tyler Flory,Michael Ciardullo,,NONE,Gabe Graber,NONE,NONE,"NONE, Oye Coker-Dickens",NONE,,,,,,
CBRE - BOE,Transform,Andrew Blum,Architecture Review,In Process,,,,,"NEW: Planning exec strategy workshop (Priya Stipe+ Rachel Smith) geared toward CBRE's incoming CTO Anuj Kadyan (ex-McKinsey, joining May 15).
Mitigating Red Account escalation - AOV at risk - Palantir re-platform exploration, Oracle as RFP competitor, and internal D&T misalignment
DATE? (On hold with Alicia news?)","Exec strategy workshop (Priya Stipe+ Rachel Smith) for SF positioning to CBRE's incoming CTO Anuj Kadyan (ex-McKinsey, joining May 15).
Mitigating Red Account escalation - AOV at risk - Palantir re-platform exploration, Oracle as RFP competitor, and internal D&T misalignment
ON HOLD PENDING STAKEHOLDER CHANGES?","Exec strategy workshop (Priya Stipe+ Rachel Smith) for SF positioning to CBRE's incoming CTO Anuj Kadyan (ex-McKinsey, joining May 15).
Mitigating Red Account escalation - AOV at risk - Palantir re-platform exploration, Oracle as RFP competitor, and internal D&T misalignment
ON HOLD PENDING STAKEHOLDER CHANGES?","Unified exec meeting. Tyler Flory leveraging CBRE ""strategy"" doc to outline narrative for iteration with Priya Stipe + Rachel Smith",ON HOLD: Tyler Florytaking ownership on getting new exec (Anuj) up to speed,ON HOLD: Tyler Florytaking ownership on getting new exec (Anuj) up to speed,"Tyler scheduling in-person Dallas workshop week of 6/8 for reference arch + ROI biz case. Bill (BOE) + John Pulito (product owner) fully aligned on BOE Sales Process transformation direction.
RUL > Agentforce - Bill supporting. 
Will bring up political debate of who owns the SF platform? ",In-person Dallas workshop this week for reference arch + ROI biz case. Bill (BOE) + John Pulito (product owner) fully aligned on BOE Sales Process transformation direction.,In-person Dallas BOE workshop completed week of 6/8 — reference arch + ROI biz case delivered. Bill (BOE) + John Pulito fully aligned on BOE Sales Process transformation direction.,In-person Dallas BOE workshop completed week of 6/8 — reference arch + ROI biz case delivered. Bill (BOE) + John Pulito fully aligned on BOE Sales Process transformation direction.,In-person Dallas BOE workshop completed week of 6/8 — reference arch + ROI biz case delivered. Bill (BOE) + John Pulito fully aligned on BOE Sales Process transformation direction.,In-person Dallas BOE workshop completed week of 6/8 — reference arch + ROI biz case delivered. Bill (BOE) + John Pulito fully aligned on BOE Sales Process transformation direction. Rachel Smith get update from Tyler ,"Unified exec meeting. Tyler Flory leveraging CBRE ""strategy"" doc to outline narrative for iteration with Priya Stipe + Rachel Smith",Tyler Flory,Michael Ciardullo,Premier - see Tsui,Rachel Smith,Gabe Graber,NONE,NONE,Oye Coker-Dickens,NONE,,,,,,"Exec Salesforce Overview for CBRE's incoming CTO Anuj Kadyan (ex-McKinsey, joining May 15) - this is meant to introduce the current partnership & position the use of Salesforce at CBRE as a platform vs. fragmened solution (""need to leverage Salesforce strategically to run the business"". Met with CBRE (Alecia) 4/22 to walk through narrative she wants to drive, the idea would be to co-create the narrative and organize her thinking/our perspective."
CBRE - Savannah,Transform,Andrew Blum,Proposals,In Process,,Relina > Vikram note going out. Executive alignments; Readouts and Demos to CBRE for Savannah RFP. First demo (Deal Management & Finance Management on 3/25),Demos 3/25 & 3/26,"Oracle bombed demos :) 
Oracle moved all RE biz to JLL last year :) 
Awaiting any final needs from CBRE to close out demos / decisions
NEW Chief Digital & Transformation Officer starts May (from McKinsey)","ERP decision has been delayed due to Arjun joining. 
POSSIBLE we will need to re-educate on Savannah. 
Blum connecting with Deloitte ERP workstream. 
Final demos (outstanding topics) 4/10","NEW: 45 Min with D&T request

General ability to change UI - can we see what is/isn't within our control
System performance with customization - how much degradation do you see on the platform as more customizations are made or when more calculations are running for commissions to be real-time.
Analytics - what is available built-in, what costs extra, ability to integrate 3-party tool like Segment, GA, Amplitude
Ability to have event tagging that is reportable, are there any limitations to this?
Ability to run UEM - built-in survey capability and ability to implement Alchemer pop-up",Completed D&T Technical Follow-Ups. Met with Deloitte partner team 4/20 for briefing. Waiting on CBRE next steps/decisions.,Waiting on CBRE for next steps/decisions,BAFO submitted 5/7. SteerCo rescheduled ~5/15. Vendor selection + board funding approval targeted EOM. SF competitive with Oracle on pricing ($12M vs $9M TCV). PwC reaching out to align on Savannah.,Vendor selection + board funding approval targeted EOM. SF competitive with Oracle on pricing ($12M vs $9M TCV).,"SteerCo 6/4. 
EOM vendor selection vs. Oracle ($12M vs $9M TCV). 
Scope validation sessions complete 5/19–21 with SIs. ",SteerCo postponed from 6/4. Bryan Murphy requested formal proposals from both vendors with Deal IQ removed from scope. CBRE reconnect call with Deloitte/SFDC scheduled for 6/9.,SteerCo postponed from 6/4. Bryan Murphy + Rhea on Friday - requested formal proposals from both vendors (Deal IQ removed from scope). Vendor selection decision vs. Oracle ($12M vs $9M TCV) pending — SteerCo now 6/23,SteerCo postponed from 6/4. Bryan Murphy + Rhea on Friday - requested formal proposals from both vendors (Deal IQ removed from scope). Vendor selection decision vs. Oracle ($12M vs $9M TCV) pending — SteerCo now 6/23,SteerCo postponed from 6/4. Bryan Murphy + Rhea on Friday - requested formal proposals from both vendors (Deal IQ removed from scope). Vendor selection decision vs. Oracle ($12M vs $9M TCV) pending — SteerCo now 6/23,SteerCo being scheduled next week now - pending ,"SteerCo video in production — script finalized, voiceover recorded 5/4, Sasha completing. Target delivery Thu 5/7 for SteerCo ~5/8–5/11.
BAFO/updated proposal due Thu 5/7 for SteerCo decision Fri–Mon (by 5/12). Deloitte meeting 5/5; PwC rescheduled. Oracle at $9M TCV; SF competitive at $12M.",Tyler Flory,Michael Ciardullo,Premier - see Tsui,Rachel Smith,Gabe Graber,NONE,Jake Connors,Oye Coker-Dickens,"Priya Stipe, Sasha Freedman",,,CBRE | Savannah 2.0 | WIP Proposal,,,Proposal submission and demo / read outs to CBRE for Savannah RFP 
